timestamp;accel.x;accel.y;accel.z
1464530707593;-6.382585;-9.914518;6.041932
1464530707628;-6.929633;-10.216412;5.8185906
1464530707662;-7.421697;-10.002932;6.6085033
1464530707697;-8.281098;-10.723443;7.0081315
1464530707740;-9.925728;-10.64125;7.8242683
1464530707774;-10.90144;-10.857973;6.848589
1464530707807;-10.356749;-12.06932;6.5973353
1464530707842;-12.017066;-14.28009;6.5485744
1464530707876;-13.81646;-16.82405;4.197005
1464530707911;-16.870766;-18.794811;5.658986
1464530707946;-17.189272;-20.16264;6.287525
1464530707984;-16.019121;-17.6893;6.6596746
1464530708017;-12.448461;-14.300415;6.3267
1464530708051;-10.4308815;-11.283144;6.260801
1464530708086;-9.003378;-9.850903;5.628255
1464530708121;-9.071019;-9.710241;5.1512604
1464530708155;-10.172167;-6.9600706;3.0761042
1464530708189;-9.995226;-4.9709063;-0.4151398
1464530708223;-9.5099945;-7.1880107;-0.49955374
1464530708259;-10.131422;-10.192496;-0.56165177
1464530708292;-9.014282;-11.280042;1.9654534
1464530708327;-8.391876;-11.43758;2.4971745
1464530708361;-5.859562;-10.8604355;4.2412624
1464530708395;-5.0484343;-10.099073;4.034037
1464530708429;0.82748795;-11.431385;7.0460176
1464530708463;11.860199;-8.656396;-6.5082517
1464530708497;30.442589;6.650733;-20.210297
1464530708531;87.34683;4.254275;-110.4241
1464530708567;30.111826;-0.00837037;-66.29438
1464530708609;14.524193;-1.5322136;-29.343187
1464530708650;11.746638;3.0202878;-16.355556
1464530708683;-3.2003546;-7.050129;-3.6732562
1464530708717;-8.750722;-8.278928;7.162131
1464530708752;-9.288942;-5.059283;0.9107604
1464530708786;-8.797451;-4.3287215;1.70189
1464530708824;-8.219532;-5.840858;2.7995667
1464530708854;-7.0638027;-5.084771;1.9494495
1464530708888;-7.781257;-5.915235;2.8552856
1464530708923;-7.2762794;-7.9966702;2.1122394
1464530708958;-5.5177803;-8.869822;-1.2020476
1464530708992;-0.17479515;-12.96106;3.7792497
1464530709035;-0.3309617;-12.029802;-0.8202896
1464530709072;-3.4910371;-11.715299;1.2092352
1464530709108;-5.135723;-13.878641;1.3724592
1464530709141;-9.227798;-13.345177;-0.2455306
1464530709176;-9.927076;-13.621426;-1.0705223
1464530709212;-9.957079;-13.580542;-1.217263
1464530709248;-9.716129;-10.31498;3.0796323
1464530709281;72.156876;6.852414;-13.935369
1464530709315;10.113417;4.055082;23.177338
1464530709350;-31.463219;-31.933731;8.7230625
1464530709384;-0.3358488;-19.395214;6.276706
1464530709418;7.4007893;-15.842036;4.181471
1464530709452;9.113597;-15.769016;5.4227853
1464530709487;9.278908;-15.693291;5.377979
1464530709524;9.36882;-15.685568;5.2801003
1464530709559;-34.79471;29.7082;-31.185944
1464530709593;25.266453;-25.135208;7.5577893
1464530709628;6.2766905;-1.6521473;-4.8508186
1464530709662;5.380757;0.8604479;-12.829935
1464530709695;8.497671;-0.73284006;-21.408161
1464530709730;11.970171;-3.2138963;-16.715778
1464530709767;12.054802;-2.5473495;-9.936858
1464530709800;16.61968;-2.8444848;-5.942091
1464530709835;8.918179;-11.606684;-10.721078
1464530709870;7.011897;-2.6130052;2.8509762
1464530709904;6.5143046;-3.363172;3.2021153
1464530709941;7.9150457;-7.7539253;0.48271155
1464530709976;11.65958;-14.6809;-3.3211036
1464530710018;11.189459;-13.978664;-2.366402
1464530710058;9.463663;-12.793342;-0.21973252
1464530710092;8.577296;-11.353478;1.7448364
1464530710126;7.1043677;-11.400488;2.6097548
1464530710161;6.4992476;-11.776129;4.577828
1464530710195;6.730598;-13.247422;4.100354
1464530710231;7.408165;-13.156683;4.821801
1464530710274;8.014582;-12.447044;5.4783854
1464530710309;10.339891;-14.954874;8.6017065
1464530710342;5.912724;-11.376366;6.40412
1464530710384;4.9518185;-10.536151;5.201653
1464530710418;4.885453;-10.445766;4.466387
1464530710452;5.3499002;-11.370701;3.8960938
1464530710487;7.3958693;-13.539035;4.3639855
1464530710524;6.622122;-13.577804;3.846924
1464530710559;5.6494446;-13.634216;3.2701373
1464530710593;4.480047;-13.816074;2.6827366
1464530710627;3.1837168;-14.200276;1.8619981
1464530710662;1.840174;-14.827404;0.64931095
1464530710696;-0.25495577;-18.344503;-4.598232
1464530710731;-1.4599192;-16.154211;-3.1530726
1464530710765;-1.3271744;-14.335594;-3.7736716
1464530710800;-13.777127;-13.214323;-13.388305
1464530710841;6.5165176;-17.903858;-13.899252
1464530710875;6.7800016;-14.604309;-10.681966
1464530710909;5.008716;-11.748797;-7.073981
1464530710944;24.725674;-8.717388;11.601497
1464530710979;4.0597496;-9.389873;-4.1286364
1464530711018;-0.73628;-11.162401;-5.52369
1464530711057;-3.37261;-12.315657;-4.97866
1464530711092;-4.579153;-13.064854;-4.107726
1464530711127;-4.836303;-13.63661;-3.3845444
1464530711161;-4.66578;-14.031954;-2.8728046
1464530711195;-4.2729764;-14.634428;-2.3554652
1464530711229;-3.7736664;-15.4177475;-1.8554528
1464530711264;-3.1639206;-16.158745;-1.2947831
1464530711300;-1.44585;-16.742252;-0.59232426
1464530711333;-1.6511306;-16.851742;0.18732882
1464530711367;17.245491;-4.588701;-70.39614
1464530711402;35.833332;41.36581;22.234295
1464530711436;25.20513;45.762974;-11.852152
1464530711471;47.378338;35.585564;-68.89323
1464530711505;28.929304;10.112737;-32.30439
1464530711539;23.48709;-3.9430254;13.396958
1464530711573;5.7536507;3.4586506;8.292086
1464530711607;6.89939;4.7272964;-22.114567
1464530711642;-0.9943478;6.5646825;-20.432093
1464530711677;-5.529767;3.677925;-9.894475
1464530711711;-13.211063;8.299719;-6.172633
1464530711745;-9.60534;-1.3127735;-13.477178
1464530711781;-17.120304;3.6094131;-18.667889
1464530711816;-1.5232557;1.254478;-13.200319
1464530711851;-0.6860554;-2.3335326;-14.0894785
1464530711885;-0.9361143;4.184064;-23.392345
1464530711920;-3.646879;-1.0268427;-7.5112867
1464530711954;-1.1156502;-2.441914;-5.2962832
1464530711988;-1.1424336;-5.3768597;-2.4930062
1464530712023;2.2229981;-6.0929356;-5.2537384
1464530712059;3.3742232;-5.881364;-6.3941216
1464530712094;2.5957813;-5.5298357;-7.4562125
1464530712134;2.2838347;-5.4199176;-6.6230297
1464530712171;1.6886821;-5.895442;-6.6809635
1464530712204;2.3591583;-5.4278364;-6.9255667
1464530712238;3.5566783;-5.24395;-7.769396
1464530712273;2.5028982;-5.232637;-7.589098
1464530712308;2.8655436;-5.615308;-7.0395975
1464530712343;1.1636292;-4.2448635;-7.698867
1464530712377;2.4848754;-4.1813793;-7.2839365
1464530712414;1.7401414;-4.246667;-8.263224
1464530712448;1.2533014;-3.661791;-8.543822
1464530712481;1.0893669;-2.8630576;-9.715861
1464530712518;0.2649336;-2.4720244;-10.734493
1464530712553;1.473139;-2.1548605;-9.91571
1464530712587;2.2438166;-1.5147188;-11.181462
1464530712620;2.105376;-1.782297;-9.881704
1464530712654;2.776883;-1.2759951;-11.237402
1464530712691;3.319779;-2.4942636;-9.744539
1464530712724;2.323707;-2.5569246;-9.190364
1464530712758;2.476263;-1.907985;-10.72441
1464530712801;1.4914931;-2.8354096;-9.124867
1464530712836;1.0526471;-3.2923715;-8.660997
1464530712869;1.3180082;-3.3743176;-8.956316
1464530712904;1.7181618;-4.0942097;-8.38265
1464530712941;1.5859338;-3.9823666;-8.133197
1464530712974;2.7156768;-4.429098;-8.256928
1464530713008;2.3733356;-5.3500767;-6.3316464
1464530713042;0.67878926;-3.7060566;-5.8311563
1464530713076;1.4014952;-2.8926125;-8.0501175
1464530713111;1.7561749;-3.3351243;-10.096647
1464530713145;2.0750399;-3.0358033;-9.928697
1464530713179;1.6874058;-3.032561;-10.037277
1464530713217;1.482983;-2.668969;-10.071431
1464530713252;1.8541257;-2.4998453;-10.22308
1464530713286;1.8922;-2.5116322;-10.545734
